Organisation name,Effective Date,Unique Property Reference Number,Unique Asset Identity,Name of the building/land or both,Street Name,Town,PostCode,X,Y,Tenure Type,Tenure Detail (see List),Holding Type
Rochdale,2021-22,,11017,Elizabethan Way land to the south,Ellenroad Approach,Rochdale,,393158.6606,411706.8394,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,11018,Ellen Road Steam Museum,Ellenroad Approach,Rochdale,,393037.1445,411688.1433,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,11019,Watch Hall  Land at,Millgate,Rochdale,OL16 2NU,391091.0603,414761.8138,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,11020,Littleborough Circket & Sports Club Car Park,Denhurst Road,Littleborough,,393560.2826,416910.6286,FREEHOLD,Local Authority Occupied,Land & Buildings
Rochdale,2021-22,,11023,Derwent Avenue Milnrow Land,Derwent Road,Rochdale,,393662.7601,412727.4882,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11024,Woodcock Close Rochdale Adj No 17 Land,Woodcock Close,Rochdale,,386754.782,413077.058,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11025,Greenbooth Road Land,Greenbooth Road,Rochdale,,385594.1715,415024.7896,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11030,"Leighton Avenue, Middleton Land",Leighton Avenue,Middleton,,#N/A,#N/A,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11032,Broad Lane Allotments,Broad Lane,Rochdale,,390523.8411,411424.7599,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11033,"Maden Fold Farm  land adj, Rochdale",Manchester Road,Rochdale,,388349,409765,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11034,"Manchester Road 309-323 land adj, Rochdale",Manchester Road,Rochdale,,388726.7566,411982.0934,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,11036,"Factory Street, no 7, Middleton",Factory Street,Middleton,,386895.4998,405901.9118, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,23033226,11039,York Street Surgery,York Street,Heywood,OL10 4NN,385659.1444,410811.2301,LEASEHOLD,leasehold (in),Land & Building
Rochdale,2021-22,,11040,Clay Lane Land,,,,386428.852,413677.0254,FREEHOLD,Local Authority Occupied,Land  
Rochdale,2021-22,,11041,Edgar Wood Academy School,Heywood Old Road,Middleton,TBA,385191.5082,407500.8894,FREEHOLD,Leasehold (out),Land
